318 461 205 444 907 205
324 458 212 426 900 218
320 443 228 399 871 248
324 441 218 392 867 220
323 417 205 381 818 185
332 423 220 392 831 202
332 430 224 386 845 206
339 430 221 393 844 194
227 418 319 161 820 388
268 412 278 234 808 313
273 391 254 237 765 267
313 389 223 311 761 205
306 422 191 294 827 131
316 445 202 319 873 127
324 454 208 340 892 111
328 456 199 358 897 121
316 452 204 345 888 115
343 450 238 409 884 182
334 442 231 397 867 179
329 432 225 389 848 189
323 421 255 377 825 217
326 402 244 376 787 204
329 285 235 374 552 170
329 293 230 367 566 164
336 293 231 368 566 162
336 293 220 372 566 184
336 296 222 370 575 167
337 294 209 369 571 189
336 296 204 367 575 180
335 296 212 361 575 159
334 431 163 355 850 62
311 388 194 305 760 128
306 404 186 292 793 139
314 411 196 306 806 120
324 416 203 326 816 122
330 424 207 338 833 131
336 304 218 351 592 159
338 309 206 355 602 171
338 313 209 356 613 161
339 316 206 357 616 164
341 317 204 358 619 153
340 318 200 360 619 153
341 316 199 362 615 150
343 312 196 355 607 152
340 456 162 344 895 83
341 438 185 345 862 111
341 440 198 341 860 123
343 434 210 337 849 132
347 443 222 340 867 164
349 433 210 338 846 124
364 440 201 364 862 109
364 455 224 359 890 154
370 446 217 364 875 144
373 455 220 364 892 151
361 456 235 334 895 169
376 463 240 358 909 178
377 458 239 357 900 187
358 458 254 312 901 218
366 424 255 324 832 210
359 426 223 305 836 165
360 413 210 303 810 155
362 393 223 300 771 198
363 397 210 298 778 181
368 425 232 303 834 223
370 439 239 302 860 229
378 453 221 314 889 188
378 452 226 309 887 196
398 453 227 343 888 194
406 444 241 355 871 212
400 429 247 352 841 213
397 409 246 357 801 199
371 427 242 313 834 204
362 474 242 303 928 222
381 405 223 342 790 200
374 408 210 332 796 187
364 407 195 312 796 169
294 485 212 179 950 209
293 485 208 182 949 204
307 454 216 218 889 239
297 469 209 206 917 251
288 477 202 192 934 257
287 477 197 193 934 264
366 465 167 350 910 216
352 473 166 321 928 225
362 469 166 333 921 227
365 465 173 325 913 229
369 478 180 316 939 218
388 490 170 343 963 187
398 493 188 355 969 221
393 492 194 334 967 240
394 489 193 332 963 254
403 488 189 346 960 257
381 466 187 297 917 266
382 456 185 298 896 269
379 441 176 297 865 249
371 431 180 282 844 252
370 260 120 283 503 129
370 260 121 284 503 149
370 262 114 284 505 156
373 260 104 293 503 148
369 261 107 285 504 169
369 260 108 285 503 177
369 260 108 286 503 183
385 240 102 321 463 179
379 469 124 309 921 232
371 490 101 313 972 196
396 456 113 367 900 226
401 459 113 366 901 222
395 455 116 364 893 216
392 493 119 368 970 212
363 502 138 305 988 243
397 479 137 377 942 238
382 494 146 356 977 244
371 495 161 352 977 253
377 486 167 384 958 247
374 471 173 398 926 246
359 452 182 388 888 252
351 436 183 392 856 245
341 422 176 393 826 257
332 417 187 389 818 234
274 454 175 284 891 198
320 418 189 384 821 221
319 440 167 394 864 177
322 457 150 411 898 169
319 473 152 410 931 176
317 484 156 406 955 190
320 490 146 410 967 222
329 485 139 421 957 251
318 468 178 389 923 220
325 453 165 390 890 240
312 484 160 352 951 223
313 485 193 336 953 286
336 472 182 357 927 288
343 417 165 338 814 185
351 421 190 324 822 166
361 422 198 318 824 166
356 422 210 312 824 151
354 438 221 315 857 150
353 435 233 320 849 157
350 397 230 323 773 146
349 387 234 325 761 152
285 427 275 197 841 233
287 423 274 193 825 220
288 413 274 192 814 219
297 415 273 201 820 221
292 409 269 183 797 230
297 407 264 186 795 239
300 407 260 195 794 248
296 406 255 192 795 257
292 408 251 184 799 266
292 404 247 187 791 273
323 395 209 249 772 202
324 404 223 250 791 226
329 404 227 261 791 221
324 411 236 251 805 232
293 406 249 184 795 269
334 421 235 265 826 265
360 421 187 308 825 203
374 434 209 328 850 295
376 440 206 324 863 311
381 435 204 325 852 320
381 436 219 319 856 356
381 422 224 317 827 368
366 446 219 292 876 361
365 438 219 307 859 355
360 410 208 323 804 324
336 421 228 303 827 353
317 421 230 294 824 340
321 454 214 333 890 288
295 456 233 306 894 302
292 465 238 324 914 291
303 471 244 361 933 288
305 470 248 372 924 300
308 462 239 376 916 311
308 451 233 364 894 325
325 419 201 378 826 288
335 421 195 370 825 294
340 420 187 347 823 301
285 452 189 198 887 318
330 427 204 246 841 360
307 450 177 154 891 311
318 451 182 131 889 314
321 449 183 126 894 322
370 407 172 283 814 296
359 413 180 322 821 288
350 417 193 356 829 275
334 419 209 366 827 254
336 417 224 400 830 210
335 418 231 417 830 191
329 419 235 397 832 189
332 424 234 394 828 171
332 435 218 379 858 117
349 424 221 391 831 141
358 425 214 376 830 132
364 429 207 363 837 130
369 423 204 350 826 147
381 431 192 350 842 144
372 435 197 314 849 167
367 444 188 289 867 152
371 446 189 282 871 161
374 451 188 276 880 167
376 442 178 271 862 159
380 421 173 271 821 151
383 451 191 268 882 193
381 494 184 264 970 159
380 489 218 265 958 222
389 470 192 285 922 216
388 460 191 288 903 217
388 392 152 284 767 108
389 398 142 280 776 111
381 411 147 261 802 97
382 421 172 280 823 138
388 441 164 311 862 104
368 432 189 292 845 134
369 437 191 321 855 145
370 430 199 351 843 158
351 455 188 338 891 135
351 455 188 338 891 135
370 430 199 351 843 158
369 437 191 321 855 145
368 432 189 292 845 134
388 441 164 311 862 104
382 421 172 280 823 138
381 411 147 261 802 97
389 398 142 280 776 111
388 392 152 284 767 108
388 460 191 288 903 217
389 470 192 285 922 216
380 489 218 265 958 222
381 494 184 264 970 159
383 451 191 268 882 193
380 421 173 271 821 151
376 442 178 271 862 159
374 451 188 276 880 167
371 446 189 282 871 161
367 444 188 289 867 152
372 435 197 314 849 167
381 431 192 350 842 144
369 423 204 350 826 147
364 429 207 363 837 130
358 425 214 376 830 132
349 424 221 391 831 141
332 435 218 379 858 117
332 424 234 394 828 171
329 419 235 397 832 189
335 418 231 417 830 191
336 417 224 400 830 210
334 419 209 366 827 254
350 417 193 356 829 275
359 413 180 322 821 288
370 407 172 283 814 296
321 449 183 126 894 322
318 451 182 131 889 314
307 450 177 154 891 311
330 427 204 246 841 360
285 452 189 198 887 318
340 420 187 347 823 301
335 421 195 370 825 294
325 419 201 378 826 288
308 451 233 364 894 325
308 462 239 376 916 311
305 470 248 372 924 300
303 471 244 361 933 288
292 465 238 324 914 291
295 456 233 306 894 302
321 454 214 333 890 288
317 421 230 294 824 340
336 421 228 303 827 353
360 410 208 323 804 324
365 438 219 307 859 355
366 446 219 292 876 361
381 422 224 317 827 368
381 436 219 319 856 356
381 435 204 325 852 320
376 440 206 324 863 311
374 434 209 328 850 295
360 421 187 308 825 203
334 421 235 265 826 265
293 406 249 184 795 269
324 411 236 251 805 232
329 404 227 261 791 221
324 404 223 250 791 226
323 395 209 249 772 202
292 404 247 187 791 273
292 408 251 184 799 266
296 406 255 192 795 257
300 407 260 195 794 248
297 407 264 186 795 239
292 409 269 183 797 230
297 415 273 201 820 221
288 413 274 192 814 219
287 423 274 193 825 220
285 427 275 197 841 233
349 387 234 325 761 152
350 397 230 323 773 146
353 435 233 320 849 157
354 438 221 315 857 150
356 422 210 312 824 151
361 422 198 318 824 166
351 421 190 324 822 166
343 417 165 338 814 185
336 472 182 357 927 288
313 485 193 336 953 286
312 484 160 352 951 223
325 453 165 390 890 240
318 468 178 389 923 220
329 485 139 421 957 251
320 490 146 410 967 222
317 484 156 406 955 190
319 473 152 410 931 176
322 457 150 411 898 169
319 440 167 394 864 177
320 418 189 384 821 221
274 454 175 284 891 198
332 417 187 389 818 234
341 422 176 393 826 257
351 436 183 392 856 245
359 452 182 388 888 252
374 471 173 398 926 246
377 486 167 384 958 247
371 495 161 352 977 253
382 494 146 356 977 244
397 479 137 377 942 238
363 502 138 305 988 243
392 493 119 368 970 212
395 455 116 364 893 216
401 459 113 366 901 222
396 456 113 367 900 226
371 490 101 313 972 196
379 469 124 309 921 232
385 240 102 321 463 179
369 260 108 286 503 183
369 260 108 285 503 177
369 261 107 285 504 169
373 260 104 293 503 148
370 262 114 284 505 156
370 260 121 284 503 149
370 260 120 283 503 129
371 431 180 282 844 252
379 441 176 297 865 249
382 456 185 298 896 269
381 466 187 297 917 266
403 488 189 346 960 257
394 489 193 332 963 254
393 492 194 334 967 240
398 493 188 355 969 221
388 490 170 343 963 187
369 478 180 316 939 218
365 465 173 325 913 229
362 469 166 333 921 227
352 473 166 321 928 225
366 465 167 350 910 216
287 477 197 193 934 264
288 477 202 192 934 257
297 469 209 206 917 251
307 454 216 218 889 239
293 485 208 182 949 204
294 485 212 179 950 209
364 407 195 312 796 169
374 408 210 332 796 187
381 405 223 342 790 200
362 474 242 303 928 222
371 427 242 313 834 204
397 409 246 357 801 199
400 429 247 352 841 213
406 444 241 355 871 212
398 453 227 343 888 194
378 452 226 309 887 196
378 453 221 314 889 188
370 439 239 302 860 229
368 425 232 303 834 223
363 397 210 298 778 181
362 393 223 300 771 198
360 413 210 303 810 155
359 426 223 305 836 165
366 424 255 324 832 210
358 458 254 312 901 218
377 458 239 357 900 187
376 463 240 358 909 178
361 456 235 334 895 169
373 455 220 364 892 151
370 446 217 364 875 144
364 455 224 359 890 154
364 440 201 364 862 109
349 433 210 338 846 124
347 443 222 340 867 164
343 434 210 337 849 132
341 440 198 341 860 123
341 438 185 345 862 111
340 456 162 344 895 83
343 312 196 355 607 152
341 316 199 362 615 150
340 318 200 360 619 153
341 317 204 358 619 153
339 316 206 357 616 164
338 313 209 356 613 161
338 309 206 355 602 171
336 304 218 351 592 159
330 424 207 338 833 131
324 416 203 326 816 122
314 411 196 306 806 120
306 404 186 292 793 139
311 388 194 305 760 128
334 431 163 355 850 62
335 296 212 361 575 159
336 296 204 367 575 180
337 294 209 369 571 189
336 296 222 370 575 167
336 293 220 372 566 184
336 293 231 368 566 162
329 293 230 367 566 164
329 285 235 374 552 170
326 402 244 376 787 204
323 421 255 377 825 217
329 432 225 389 848 189
334 442 231 397 867 179
343 450 238 409 884 182
316 452 204 345 888 115
328 456 199 358 897 121
324 454 208 340 892 111
316 445 202 319 873 127
306 422 191 294 827 131
313 389 223 311 761 205
273 391 254 237 765 267
268 412 278 234 808 313
227 418 319 161 820 388
339 430 221 393 844 194
332 430 224 386 845 206
332 423 220 392 831 202
323 417 205 381 818 185
324 441 218 392 867 220
320 443 228 399 871 248
324 458 212 426 900 218
318 461 205 444 907 205
295 476 205 433 935 200
296 484 190 468 952 172
286 494 180 483 972 151
276 476 214 499 937 212
276 481 209 527 947 190
258 434 234 508 851 228
265 480 199 531 944 145
272 470 196 539 925 122
278 462 196 534 908 120
268 440 202 491 864 171
291 438 199 505 858 145
311 446 197 509 875 133
299 444 190 450 872 134
302 446 186 423 875 140
304 437 192 417 857 150
309 468 158 436 919 78
306 457 167 435 896 125
264 453 220 352 889 210
277 465 221 381 912 213
267 468 215 361 919 213
299 234 209 425 452 215
300 246 224 425 476 259
301 451 209 422 887 239
304 466 210 424 917 235
314 465 209 439 914 222
311 474 205 427 932 203
310 474 202 414 931 184
310 460 200 403 905 171
322 463 189 406 910 136
325 441 210 378 865 166
335 450 194 355 883 140
332 452 183 360 888 145
327 452 168 372 888 135
323 438 180 378 861 162
334 436 185 376 856 174
347 439 185 329 862 174
367 437 184 298 858 175
364 437 189 308 857 182
364 436 187 320 855 178
360 436 187 324 855 175
359 433 190 326 848 184
328 461 191 263 905 212
325 454 194 253 891 238
312 456 206 223 895 260
328 452 204 252 887 256
358 237 187 308 457 219
360 236 176 311 456 195
368 446 170 320 876 173
363 470 173 304 923 165
364 484 165 297 951 141
343 516 185 250 1014 178
345 513 178 260 1009 160
327 490 179 233 966 154
313 454 198 211 892 182
295 459 196 178 907 219
293 452 190 181 888 231
308 428 182 218 847 220
308 435 179 232 860 233
312 438 180 248 869 216
286 450 192 203 892 232
304 452 182 240 892 204
284 452 193 200 889 221
284 455 191 199 890 217
284 455 187 199 890 229
303 440 173 228 860 208
304 440 172 224 860 209
309 438 167 230 857 194
300 445 168 208 870 210
308 447 161 222 874 190
288 449 183 191 878 211
286 443 186 196 866 201
292 446 185 218 875 205
293 453 185 226 888 210
281 427 183 206 837 209
285 466 195 217 915 232
290 470 196 232 922 248
300 470 187 256 920 251
301 469 179 261 922 250
279 473 177 213 929 254
298 456 169 252 895 244
322 459 167 303 900 234
341 446 142 342 874 171
342 463 140 340 908 167
342 463 140 340 908 167
341 446 142 342 874 171
322 459 167 303 900 234
298 456 169 252 895 244
279 473 177 213 929 254
301 469 179 261 922 250
300 470 187 256 920 251
290 470 196 232 922 248
285 466 195 217 915 232
281 427 183 206 837 209
293 453 185 226 888 210
292 446 185 218 875 205
286 443 186 196 866 201
288 449 183 191 878 211
308 447 161 222 874 190
300 445 168 208 870 210
309 438 167 230 857 194
304 440 172 224 860 209
303 440 173 228 860 208
284 455 187 199 890 229
284 455 191 199 890 217
284 452 193 200 889 221
304 452 182 240 892 204
286 450 192 203 892 232
312 438 180 248 869 216
308 435 179 232 860 233
308 428 182 218 847 220
293 452 190 181 888 231
295 459 196 178 907 219
313 454 198 211 892 182
327 490 179 233 966 154
345 513 178 260 1009 160
343 516 185 250 1014 178
364 484 165 297 951 141
363 470 173 304 923 165
368 446 170 320 876 173
360 236 176 311 456 195
358 237 187 308 457 219
328 452 204 252 887 256
312 456 206 223 895 260
325 454 194 253 891 238
328 461 191 263 905 212
359 433 190 326 848 184
360 436 187 324 855 175
364 436 187 320 855 178
364 437 189 308 857 182
367 437 184 298 858 175
347 439 185 329 862 174
334 436 185 376 856 174
323 438 180 378 861 162
327 452 168 372 888 135
332 452 183 360 888 145
335 450 194 355 883 140
325 441 210 378 865 166
322 463 189 406 910 136
310 460 200 403 905 171
310 474 202 414 931 184
311 474 205 427 932 203
314 465 209 439 914 222
304 466 210 424 917 235
301 451 209 422 887 239
300 246 224 425 476 259
299 234 209 425 452 215
267 468 215 361 919 213
277 465 221 381 912 213
264 453 220 352 889 210
306 457 167 435 896 125
309 468 158 436 919 78
304 437 192 417 857 150
302 446 186 423 875 140
299 444 190 450 872 134
311 446 197 509 875 133
291 438 199 505 858 145
268 440 202 491 864 171
278 462 196 534 908 120
272 470 196 539 925 122
265 480 199 531 944 145
258 434 234 508 851 228
276 481 209 527 947 190
276 476 214 499 937 212
286 494 180 483 972 151
296 484 190 468 952 172
295 476 205 433 935 200
318 461 205 444 907 205
324 458 212 426 900 218
320 443 228 399 871 248
324 441 218 392 867 220
323 417 205 381 818 185
332 423 220 392 831 202
332 430 224 386 845 206
339 430 221 393 844 194
227 418 319 161 820 388
268 412 278 234 808 313
273 391 254 237 765 267
313 389 223 311 761 205
306 422 191 294 827 131
316 445 202 319 873 127
324 454 208 340 892 111
328 456 199 358 897 121
316 452 204 345 888 115
343 450 238 409 884 182
334 442 231 397 867 179
329 432 225 389 848 189
323 421 255 377 825 217
326 402 244 376 787 204
329 285 235 374 552 170
329 293 230 367 566 164
336 293 231 368 566 162
336 293 220 372 566 184
336 296 222 370 575 167
337 294 209 369 571 189
336 296 204 367 575 180
335 296 212 361 575 159
334 431 163 355 850 62
311 388 194 305 760 128
306 404 186 292 793 139
314 411 196 306 806 120
324 416 203 326 816 122
330 424 207 338 833 131
336 304 218 351 592 159
338 309 206 355 602 171
338 313 209 356 613 161
339 316 206 357 616 164
341 317 204 358 619 153
340 318 200 360 619 153
341 316 199 362 615 150
343 312 196 355 607 152
340 456 162 344 895 83
341 438 185 345 862 111
341 440 198 341 860 123
343 434 210 337 849 132
347 443 222 340 867 164
349 433 210 338 846 124
364 440 201 364 862 109
364 455 224 359 890 154
370 446 217 364 875 144
373 455 220 364 892 151
361 456 235 334 895 169
376 463 240 358 909 178
377 458 239 357 900 187
358 458 254 312 901 218
366 424 255 324 832 210
359 426 223 305 836 165
360 413 210 303 810 155
362 393 223 300 771 198
363 397 210 298 778 181
368 425 232 303 834 223
370 439 239 302 860 229
378 453 221 314 889 188
378 452 226 309 887 196
398 453 227 343 888 194
406 444 241 355 871 212
400 429 247 352 841 213
397 409 246 357 801 199
371 427 242 313 834 204
362 474 242 303 928 222
381 405 223 342 790 200
374 408 210 332 796 187
364 407 195 312 796 169
294 485 212 179 950 209
293 485 208 182 949 204
307 454 216 218 889 239
297 469 209 206 917 251
288 477 202 192 934 257
287 477 197 193 934 264
366 465 167 350 910 216
352 473 166 321 928 225
362 469 166 333 921 227
365 465 173 325 913 229
369 478 180 316 939 218
388 490 170 343 963 187
398 493 188 355 969 221
393 492 194 334 967 240
394 489 193 332 963 254
403 488 189 346 960 257
381 466 187 297 917 266
382 456 185 298 896 269
379 441 176 297 865 249
371 431 180 282 844 252
370 260 120 283 503 129
370 260 121 284 503 149
370 262 114 284 505 156
373 260 104 293 503 148
369 261 107 285 504 169
369 260 108 285 503 177
369 260 108 286 503 183
385 240 102 321 463 179
379 469 124 309 921 232
371 490 101 313 972 196
396 456 113 367 900 226
401 459 113 366 901 222
395 455 116 364 893 216
392 493 119 368 970 212
363 502 138 305 988 243
397 479 137 377 942 238
382 494 146 356 977 244
371 495 161 352 977 253
377 486 167 384 958 247
374 471 173 398 926 246
359 452 182 388 888 252
351 436 183 392 856 245
341 422 176 393 826 257
332 417 187 389 818 234
274 454 175 284 891 198
320 418 189 384 821 221
319 440 167 394 864 177
322 457 150 411 898 169
319 473 152 410 931 176
317 484 156 406 955 190
320 490 146 410 967 222
329 485 139 421 957 251
318 468 178 389 923 220
325 453 165 390 890 240
312 484 160 352 951 223
313 485 193 336 953 286
336 472 182 357 927 288
343 417 165 338 814 185
351 421 190 324 822 166
361 422 198 318 824 166
356 422 210 312 824 151
354 438 221 315 857 150
353 435 233 320 849 157
350 397 230 323 773 146
349 387 234 325 761 152
285 427 275 197 841 233
287 423 274 193 825 220
288 413 274 192 814 219
297 415 273 201 820 221
292 409 269 183 797 230
297 407 264 186 795 239
300 407 260 195 794 248
296 406 255 192 795 257
292 408 251 184 799 266
292 404 247 187 791 273
323 395 209 249 772 202
324 404 223 250 791 226
329 404 227 261 791 221
324 411 236 251 805 232
293 406 249 184 795 269
334 421 235 265 826 265
360 421 187 308 825 203
374 434 209 328 850 295
376 440 206 324 863 311
381 435 204 325 852 320
381 436 219 319 856 356
381 422 224 317 827 368
366 446 219 292 876 361
365 438 219 307 859 355
360 410 208 323 804 324
336 421 228 303 827 353
317 421 230 294 824 340
321 454 214 333 890 288
295 456 233 306 894 302
292 465 238 324 914 291
303 471 244 361 933 288
305 470 248 372 924 300
308 462 239 376 916 311
308 451 233 364 894 325
325 419 201 378 826 288
335 421 195 370 825 294
340 420 187 347 823 301
285 452 189 198 887 318
330 427 204 246 841 360
307 450 177 154 891 311
318 451 182 131 889 314
